Strain	Phylogroup	ST	Date
H1-003-0112-M-M	B1	58	2016
H1-003-0113-M-D	D	5602	2016
H1-003-0114-T-R	B2	141	2016
H1-003-0115-L-R	C	88	2016
H1-003-0116-V-R	C	8105	2016
H1-003-0117-S-L	B2	73	2016
H1-003-0118-G-E	B2	131	2016
H1-003-0119-G-R	B2	131	2016
H1-003-0120-P-R	C	8106	2016
H1-003-0121-E-F	B1	58	2016
H1-003-0122-K-R	B2	131	2016
H1-003-0123-M-R	D	69	2016
H1-004-0001-B-J	B2	131	2016
H1-004-0002-M-C	B2	131	2016
H1-004-0003-G-R	B1	2436	2016
H1-004-0004-L-A	D	69	2016
H1-004-0005-J-I	B2	95	2016
H1-004-0006-D-E	B2	12	2016
H1-004-0007-O-M	cladeI	770	2016
H1-004-0008-M-Y	B2	131	2016
H1-004-0009-M-M	B2	12	2016
H1-004-0010-C-O	B2	131	2016
H1-004-0011-S-K	B2	73	2016
H1-004-0012-M-Z	F	1485	2016
H1-004-0013-A-M	D	69	2016
H1-004-0014-D-M	A	10	2016
H1-004-0015-N-A	B1	2206	2016
H1-004-0016-L-R	B2	73	2016
H1-004-0017-B-M	B1	58	2016
H1-004-0018-V-M	B2	5484	2016
H1-004-0019-M-J	B2	537	2016
H1-004-0020-M-A	F	5155	2016
H1-004-0021-W-I	C	23	2016
H1-004-0022-M-L	B2	131	2016
H1-004-0023-R-J	D	394	2016
H1-004-0024-M-R	D	405	2016
H1-004-0025-T-J	B2	131	2016
H1-004-0026-E-A	B2	73	2016
H1-004-0027-B-P	A	93	2016
H1-004-0028-B-J	B2	131	2016
H1-004-0029-D-M	D	69	2016
H1-004-0030-A-D	B2	357	2016
H1-004-0031-M-D	B2	321	2016
H1-004-0032-M-R	B2	95	2016
H1-004-0033-B-M	B2	95	2016
H1-004-0034-B-S	D	69	2016
H1-004-0035-L-Y	B2	14	2016
H1-004-0036-R-B	B2	73	2016
H1-004-0037-C-M	B2	131	2016
H1-004-0038-D-S	B2	73	2016
H1-004-0039-M-M	B2	95	2016
H1-004-0040-M-P	A	48	2016
H1-004-0041-C-C	B1	162	2016
H1-004-0042-F-R	B2	131	2016
H1-004-0043-G-R	A	7343	2016
H1-004-0044-A-F	B1	327	2016
H1-004-0045-D-N	D	69	2016
H1-005-0001-B-P	A	10	2016
H1-005-0002-P-M	B2	140	2016
H1-005-0003-L-R	B2	131	2016
H1-005-0004-K-C	B2	8111	2016
H1-005-0007-B-J	D	362	2016
H1-005-0008-B-B	D	69	2016
H1-005-0009-D-X	B2	14	2016
H1-005-0010-B-P	B2	131	2016
H1-005-0011-B-M	B2	131	2016
H1-005-0012-L-M	C	8117	2016
H1-005-0013-L-D	B2	73	2016
H1-005-0014-M-A	D	69	2016
H1-005-0015-A-D	B1	156	2016
H1-005-0016-A-H	F	1722	2016
H1-005-0017-S-M	B2	131	2016
H1-005-0020-C-M	B2	95	2016
H1-005-0022-B-A	B2	73	2016
H1-005-0023-G-E	B2	73	2016
H1-005-0024-E-M	B2	73	2016
H1-005-0025-R-L	B1	162	2016
H1-005-0027-E-M	F	8115	2016
H1-005-0028-K-P	B2	131	2016
H1-005-0029-M-I	B2	131	2016
H1-005-0030-E-I	D	69	2016
H1-005-0031-M-R	B2	998	2016
H1-005-0032-C-D	B2	131	2016
H1-005-0033-F-F	B2	80	2016
H1-005-0034-P-M	B2	998	2016
H1-005-0035-M-M	B2	12	2016
H1-005-0036-K-J	B2	95	2016
H1-005-0037-P-G	B2	144	2016
H1-005-0038-A-J	B2	141	2016
H1-005-0039-V-F	B2	73	2016
H1-005-0040-M-A	B2	4219	2016
H1-005-0041-M-P	B2	73	2016
H1-005-0042-D-T	B2	73	2016
H1-005-0043-B-O	B2	12	2016
H1-005-0044-R-A	B2	95	2016
H1-005-0045-G-C	D	362	2016
H1-005-0046-E-M	B1	109	2016
H1-005-0047-S-F	B2	131	2016
H1-005-0048-I-T	E	543	2016
H1-005-0049-L-J	B2	73	2016
H1-005-0050-D-A	A	10	2016
H1-005-0051-H-M	B2	421	2016
H1-005-0052-B-J	B2	131	2016
H1-005-0053-L-F	D	69	2016
H1-005-0054-C-P	B2	131	2016
H1-005-0055-B-R	B2	7882	2016
H1-005-0056-W-P	B2	131	2016
H1-005-0057-S-L	B2	131	2016
H1-005-0058-M-A	B1	58	2016
H1-005-0059-C-M	B1	8109	2016
H1-005-0060-I-L	F	354	2016
H1-005-0061-L-J	B2	73	2016
H1-005-0062-N-S	B1	602	2016
H1-005-0063-P-L	B2	73	2016
H1-005-0064-A-O	B1	1125	2016
H1-005-0065-L-P	C	88	2016
H1-005-0066-W-C	A	10	2016
H1-005-0067-A-O	B2	1193	2016
H1-005-0068-D-C	B2	141	2016
H1-005-0069-B-M	B2	12	2016
H1-006-0001-M-F	B2	8114	2016
H1-006-0002-F-L	B2	131	2016
H1-006-0003-S-L	C	783	2016
H1-006-0004-F-M	D	69	2016
H1-006-0005-A-H	B2	131	2016
H1-006-0006-C-A	B2	73	2016
H1-006-0007-D-C	D	69	2016
H1-006-0008-K-G	B2	73	2016
H1-006-0009-P-C	B2	141	2016
H1-006-0010-A-H	D	69	2016
H1-006-0011-L-G	B2	550	2016
H1-006-0012-T-R	B2	131	2016
H1-006-0013-N-E	B2	141	2016
H1-006-0014-H-P	A	93	2016
H1-006-0015-M-S	B2	8112	2016
H1-006-0016-D-L	B2	95	2016
H1-006-0017-B-Y	B2	12	2016
H1-006-0018-G-M	B1	2602	2016
H1-006-0019-C-M	B2	127	2016
H1-006-0020-C-M	B2	12	2016
H1-006-0021-S-B	B1	380	2016
H1-006-0022-L-R	C	410	2016
H1-006-0023-B-E	B1	162	2016
H1-006-0024-B-L	B1	380	2016
H1-006-0025-K-A	B2	1193	2016
H1-006-0026-L-L	B2	95	2016
H1-006-0027-H-J	D	69	2016
H1-006-0028-D-J	B2	73	2016
H1-006-0029-A-Y	B2	131	2016
H1-006-0030-J-R	B2	136	2016
H1-006-0031-R-H	A	4774	2016
H1-006-0032-V-J	D	69	2016
H1-006-0033-P-A	B2	73	2016
H1-006-0034-T-Z	B1	58	2016
H1-006-0035-L-J	B1	58	2016
H1-006-0036-K-N	B2	80	2016
H1-007-0001-L-D	B2	131	2016
H1-007-0002-S-S	B2	73	2016
H1-007-0003-S-K	B2	73	2016
H1-007-0004-G-N	D	69	2016
H1-007-0005-S-V	A	4358	2016
H1-007-0006-B-R	B2	73	2016
H1-007-0007-D-J	B2	131	2016
H1-007-0008-D-A	D	69	2016
H1-007-0009-T-R	B2	95	2016
H1-007-0010-M-S	A	10	2016
H1-007-0011-C-M	B2	73	2016
H1-007-0012-A-V	B2	95	2016
H1-007-0013-G-S	B1	1248	2016
H1-007-0014-D-E	B1	58	2016
H1-007-0015-D-G	C	23	2016
H1-007-0016-Z-M	A	8110	2016
H1-007-0017-T-K	B2	73	2016
H1-007-0018-T-J	D	69	2016
H1-007-0019-F-N	B1	162	2016
H1-007-0020-B-D	B2	95	2016
H1-007-0021-C-G	B2	73	2016
H1-007-0022-M-F	B1	847	2016
H1-007-0023-P-A	B2	73	2016
H1-007-0024-R-O	B2	95	2016
H1-007-0025-A-R	A	8113	2016
H1-007-0026-H-D	A	227	2016
H1-007-0027-K-T	B2	131	2016
H1-007-0028-C-T	B2	73	2016
H1-007-0029-B-L	B2	127	2016
H1-007-0030-R-J	B2	95	2016
H1-007-0031-G-I	B2	14	2016
H1-007-0032-B-M	F	62	2016
H1-007-0033-F-S	A	10	2016
H1-007-0034-F-P	B1	4162	2016
H1-007-0035-S-G	F	62	2016
H1-007-0036-L-A	B2	73	2016
H1-007-0037-H-D	C	88	2016
H1-007-0038-P-M	D	38	2016
H1-007-0039-H-A	B2	372	2016
H1-007-0040-B-Y	B2	95	2016
H1-007-0041-L-M	B2	141	2016
H1-007-0042-M-F	E	57	2016
H1-007-0043-A-J	B2	73	2016
H1-007-0044-L-B	D	69	2016
H1-007-0045-R-M	A	8107	2016
VDG369	A	10	1980
VDG370	E	3051	1980
VDG371	D	405	1980
VDG373	A	216	1980
VDG374	A	216	1980
VDG375	F	59	1980
VDG376	D	69	1980
VDG378	A	10	1980
VDG379	A	1137	1980
VDG381	C	3593	1980
VDG383	B2	372	1980
VDG384	A	10	1980
VDG385	B1	1128	1980
VDG386	A	10	1980
VDG387	A	548	1980
VDG388	A	10	1980
VDG389	D	69	1980
VDG391	B1	154	1980
VDG392	C	23	1980
VDG393	A	10	1980
VDG395	B2	127	1980
VDG396	A	206	1980
VDG397	D	925	1980
VDG399	A	10	1980
VDG401	A	1495	1980
VDG402	A	1429	1980
VDG403	A	216	1980
VDG405	D	925	1980
VDG406	D	130	1980
VDG408	A	10	1980
VDG409	A	10	1980
VDG411	A	10	1980
VDG412	A	1434	1980
VDG414	A	10	1980
VDG418	D	38	1980
VDG420	A	1429	1980
VDG422	A	10	1980
VDG423	A	218	1980
VDG424	B1	-	1980
VDG426	A	1303	1980
VDG427	B2	452	1980
VDG428	A	4741	1980
VDG430	B2	73	1980
VDG431	A	10	1980
VDG432	A	34	1980
VDG433	A	10	1980
VDG443	A	7337	1980
VDG447	A	10	1980
VDG448	B2	73	1980
VDG451	B1	1611	1980
VDG453	B1	1611	1980
VDG455	A	93	1980
VDG457	F	59	1980
M127	B2	5316	1934
M143	A	10	1935
M163	B1	5308	1933
M177	F	59	1941
M256	A	5631	1930
M265	A	10	1934
M291	F	59	1937
M292	F	59	1932
M297	F	59	1937
M331	A	540	1934
M389	B1	120	1939
M401	F	59	1932
M427	B1	641	1930
M429	F	59	1932
M617	B1	120	1939
M618	B2	95	1932
M620	B1	5308	1933
M633	A	5590	1934
M634	B1	5308	1931
M647	B1	5308	1933
M648A	B1	5308	1934
M649	B2	95	1932
M679	D	405	1934
M682	D	405	1934
CP023468-1	-	-	2018
CP028169-1	-	-	2018
CP054715-1	-	-	2020
SAL-QA3640AA-AS-scaffold	-	-	2014
SAL-QA3642AA-AS-scaffold	-	-	2014
SAL-QA3641AA-AS-scaffold	-	-	2014
